time,v_train,Ptraction,Pregen,Fregen,Fmechanical,Pdc,Usc,SOCsc,Esc_kJ,Eregen_kJ,traction_command,service_brake_request
38.7,2.7013662235809,0,225192.444311738,75974.7601507361,4025.30504093936,-225192.444311738,710.122708364034,0.45406118023977,30256.4556560563,3484.93930660095,0,1
38.8,2.60341786308481,0,217827.322549441,75974.8233970774,4025.23984926387,-217827.322549441,710.384651934702,0.454725631614978,30278.7812222633,3507.61843915978,0,1
38.9,2.50547452511619,0,210462.602635364,75974.8846985704,4025.17660292263,-210462.602635364,710.638207258297,0.455369038598726,30300.3996969172,3529.59045959024,0,1
39,2.40753602404229,0,203098.271171828,75974.9440556859,4025.1153014296,-203098.271171828,710.883383777793,0.455991402377439,30321.3111198819,3550.85540839957,0,1
39.1,2.30960217426754,0,195734.314763935,75975.0014688796,4025.05594431411,-195734.314763935,711.120190611673,0.456592724099254,30341.5155297349,3571.41332480844,0,1
39.2,2.21167279023211,0,188370.720019479,75975.0569385921,4024.99853112044,-188370.720019479,711.348636555562,0.457173004874031,30361.0129637674,3591.26424675119,0,1
39.3,2.11374768641055,0,181007.473548851,75975.1104652496,4024.94306140787,-181007.473548851,711.568730083805,0.457732245773356,30379.8034579848,3610.40821087611,0,1
39.4,2.01582667731036,0,173644.561964938,75975.1620492629,4024.88953475043,-173644.561964938,711.78047935098,0.458270447830555,30397.8870471066,3628.84525254571,0,1
39.5,1.91790957747055,0,166281.971883035,75975.2116910287,4024.83795073706,-166281.971883035,711.983892193348,0.458787612040694,30415.2637645673,3646.57540583699,0,1
39.6,1.8199962014603,0,158919.689920745,75975.2593909283,4024.78830897134,-158919.689920745,712.178976130251,0.459283739360594,30431.933642516,3663.59870354165,0,1
39.7,1.7220863638775,0,151557.702697887,75975.3051493287,4024.74060907168,-151557.702697887,712.365738365445,0.459758830708831,30447.8967118167,3679.91517716635,0,1
39.8,1.62417987934736,0,144195.996836397,75975.3489665821,4024.69485067125,-144195.996836397,712.544185788375,0.460212886965748,30463.1530020491,3695.52485693294,0,1
39.9,1.52627656252103,0,136834.55896024,75975.3908430257,4024.65103341792,-136834.55896024,712.714324975397,0.460645908973456,30477.7025415081,3710.42777177863,0,1
40,1.42837622807415,0,129473.375695307,75975.4307789824,4024.60915697426,-129473.375695307,712.876162190933,0.461057897535846,30491.5453572044,3724.62394935628,0,1
40.1,1.33047869070548,0,122112.433669325,75975.4687747601,4024.56922101758,-122112.433669325,713.029703388582,0.461448853418589,30504.6814748646,3738.11341603452,0,1
40.2,1.2325837651355,0,114751.719511761,75975.504830652,4024.53122523995,-114751.719511761,713.174954212164,0.461818777349147,30517.1109189313,3750.89619689798,0,1
40.3,1.13469126610499,0,107391.219853729,75975.5389469367,4024.49516934803,-107391.219853729,713.31191999671,0.462167670016774,30528.8337125636,3762.97231574748,0,1
40.4,1.03680100837361,0,100030.921327889,75975.5711238781,4024.46105306328,-100030.921327889,713.440605769403,0.462495532072522,30539.8498776367,3774.34179510018,0,1
40.5,0.938912806718541,0,92670.8105683606,75975.6013617254,4024.42887612188,-92670.8105683606,713.561016250452,0.462802364129247,30550.1594347427,3785.00465618972,0,1
40.6,0.841026475933058,0,85310.8742106211,75975.6296607131,4024.39863827458,-85310.8742106211,713.673155853926,0.463088166761612,30559.7624031902,3794.96091896644,0,1
40.7,0.743141830825125,0,77951.0988914148,75975.6560210609,4024.37033928691,-77951.0988914148,713.77702868852,0.463352940506093,30568.6588010047,3804.21060209746,0,1
40.8,0.645258686216002,0,70591.4712486568,75975.680442974,4024.34397893907,-70591.4712486568,713.872638558272,0.463596685860981,30576.8486449289,3812.75372296685,0,1
